Year,Change
2010,25.58000
2010,25.78000
2010,24.97000
2010,25.23000
2010,24.10000
2010,23.71000
2010,25.22000
2010,25.78000
2010,28.46000
2010,29.40000
2010,26.65000
2010,28.78000
2010,25.76000
2010,26.42000
2010,26.98000
2010,22.50000
2010,22.85000
2010,21.15000
2010,24.09000
2010,24.22000
2010,23.74000
2010,26.22000
2010,26.12000
2010,26.28000
2011,23.78000
2011,23.00000
2011,23.14000
2011,22.83000
2011,24.88000
2011,25.61000
2011,23.38000
2011,23.62000
2011,22.23000
2011,24.34000
2011,22.95000
2011,24.59000
2011,23.55000
2011,23.58000
2011,23.59000
2011,22.65000
2011,21.48000
2011,23.34000
2011,23.34000
2011,23.39000
2011,23.71000
2011,23.21000
2011,23.27000
2011,21.83000
2011,20.52000
2011,21.93000
2011,24.13000
2011,21.42000
2011,25.06000
2011,24.55000
2011,25.17000
2011,25.19000
2011,25.82000
2011,25.99000
2011,28.17000
2011,25.82000
2011,26.30000
2011,24.54000
2011,25.49000
2011,22.45000
2011,24.56000
2011,24.53000
2011,25.44000
2011,26.41000
2011,28.08000
2011,25.35000
2011,28.34000
2011,29.30000
2011,27.70000
2011,26.95000
2011,25.96000
2011,22.96000
2011,25.49000
2011,26.06000
2011,27.86000
2011,28.07000
2011,30.13000
2011,29.89000
2011,31.23000
2011,25.77000
2011,26.88000
2011,25.91000
2011,26.25000
2011,22.21000
2011,27.11000
2011,27.04000
2011,29.80000
2011,28.22000
2011,30.47000
2011,28.73000
2011,31.24000
2011,31.34000
2011,30.82000
2012,28.50000
2012,32.96000
2012,29.41000
2012,32.70000
2012,31.12000
2012,34.12000
2012,31.76000
2012,32.49000
2012,31.84000
2012,33.92000
2012,31.05000
2012,31.92000
2012,28.37000
2012,31.21000
2012,32.54000
2012,34.82000
2012,32.69000
2012,32.25000
2012,32.51000
2012,33.26000
2012,36.28000
2012,35.45000
2012,34.04000
2012,34.67000
2012,36.22000
2012,34.06000
2012,37.68000
2012,38.46000
2012,35.63000
2012,36.10000
2012,37.09000
2012,35.68000
2012,37.79000
2012,38.94000
2012,40.51000
2012,40.17000
2012,37.98000
2012,38.12000
2012,40.61000
2012,37.64000
2012,36.27000
2012,33.70000
2012,35.76000
2012,36.38000
2012,36.08000
2012,35.35000
2012,37.71000
2012,38.82000
2012,36.43000
2012,38.74000
2012,39.19000
2012,40.16000
2012,38.32000
2012,37.42000
2012,36.56000
2012,36.82000
2012,37.47000
2012,40.69000
2012,38.74000
2012,40.05000
2012,38.94000
2012,37.57000
2012,37.57000
2012,40.56000
2012,38.44000
2012,35.21000
2012,37.73000
2012,35.72000
2012,38.61000
2013,39.51000
2013,38.74000
2013,38.19000
2013,38.76000
2013,42.53000
2013,40.96000
2013,40.05000
2013,40.20000
2013,40.78000
2013,37.71000
2013,39.69000
2013,39.49000
2013,41.07000
2013,39.89000
2013,37.28000
2013,38.83000
2013,40.06000
2013,36.82000
2013,37.80000
2013,34.25000
2013,40.46000
2013,35.23000
2013,41.72000
2013,40.79000
2013,38.68000
2013,41.41000
2013,37.98000
2013,39.95000
2013,37.84000
2013,35.67000
2013,36.53000
2013,31.93000
2013,38.01000
2013,36.96000
2013,36.68000
2013,38.17000
2013,37.90000
2013,33.61000
2013,33.66000
2013,37.34000
2013,33.17000
2013,35.06000
2013,36.22000
2013,36.70000
2013,39.81000
2013,41.26000
2013,39.34000
2013,38.48000
2013,37.64000
2013,35.25000
2013,37.22000
2013,38.60000
2014,38.52000
2014,38.62000
2014,36.69000
2014,38.72000
2014,41.30000
2014,41.06000
2014,41.43000
2014,40.24000
2014,40.01000
2014,40.48000
2014,40.64000
2014,38.40000
2014,38.13000
2014,38.30000
2014,39.28000
2014,38.32000
2014,40.48000
2014,41.92000
2014,42.73000
2014,42.31000
2014,39.38000
2014,41.28000
2014,42.87000
2014,43.12000
2014,42.63000
2014,42.26000
2014,39.40000
2014,41.51000
2014,44.84000
2014,44.41000
2014,41.82000
2014,41.84000
2014,38.43000
2014,39.82000
2014,48.14000
2014,45.67000
2015,41.79000
2015,44.99000
2015,44.88000
2015,46.82000
2015,47.32000
2015,49.48000
2015,48.52000
2015,47.18000
2015,46.88000
2015,48.15000
2015,49.32000
2015,48.68000
2015,48.14000
2015,46.96000
2015,45.42000
2015,47.68000
2015,48.79000
2015,49.42000
2015,50.32000
2015,49.09000
2015,49.34000
2015,49.28000
2015,50.95000
2015,49.53000
2015,53.29000
2015,53.50000
2015,51.67000
2015,53.35000
2015,53.91000
2015,54.60000
2015,56.72000
2015,53.19000
2015,49.75000
2015,52.78000
2015,53.50000
2015,52.43000
2015,51.72000
2016,47.97000
2016,51.66000
2016,55.53000
2016,52.25000
2016,55.02000
2016,53.98000
2016,54.06000
2016,54.52000
2016,52.52000
2016,52.63000
2016,55.53000
2016,56.87000
2016,53.89000
2016,53.75000
2016,53.16000
2016,53.73000
2016,52.32000
2016,52.13000
2016,52.18000
2016,51.94000
2016,52.09000
2016,50.74000
2016,53.58000
2016,53.46000
2016,54.02000
2016,55.55000
2016,53.22000
2016,54.15000
2016,52.35000
2016,53.49000
2016,52.45000
2016,50.06000
2016,49.62000
2016,48.59000
2016,52.15000
2016,52.40000
2016,53.14000
2016,53.20000
2016,51.37000
2016,48.85000
2016,51.72000
2016,51.89000
2016,53.79000
2016,54.58000
2016,58.01000
2016,55.05000
2016,53.20000
2016,52.47000
2017,52.03000
2017,54.10000
2017,53.11000
2017,50.93000
2017,51.34000
2017,51.45000
2017,52.78000
2017,52.98000
2017,53.60000
2017,54.98000
2017,53.26000
2017,53.35000
2017,53.17000
2017,52.60000
2017,49.60000
2017,52.62000
2017,52.41000
2017,52.90000
2017,53.96000
2017,54.05000
2017,53.77000
2017,57.01000
2017,54.84000
2017,54.12000
2017,54.73000
2017,56.37000
2017,56.35000
2017,53.48000
